cancion,artista,fecha_lanzamiento,rank_global,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,tiktok_posts,tiktok_views,shazam_counts,anio_lanzamiento
En la Intimidad,Big One,2023-02-01,890,51.2,"210,712,407","24,033","7,343,818",65.0,"379,884,934","575,300","793,158,034","261,474",2023
Counting Stars,OneRepublic,2013-01-01,892,51.1,"2,466,006,842","343,135","114,346,295",81.0,"304,524,339","382,991","1,245,061,983","118,910",2013
Essence (feat. Tems),Wizkid,2020-10-28,893,51.0,"242,254,880","85,783","13,563,028",66.0,"418,190,794","280,027","617,402,549","4,536,227",2020
Get Into It (Yuh),Doja Cat,2021-06-25,895,51.0,"603,196,133","97,704","24,305,145",68.0,"265,715,680","1,300,477","7,709,942,104","2,436,551",2021
RAVE,Dxrk ï¿½ï¿½ï¿½,2022-03-18,894,51.0,"415,552,038","104,372","42,500,205",71.0,"281,772,953","814,700","5,435,575,162","2,994,271",2022
No Me Conoce,Jhay Cortez,2019-02-22,896,51.0,"49,585,127","9,710","1,428,548",47.0,"2,272,109,362","12,412","20,432,637","466,976",2019
offline,Young Miko,2024-04-05,900,50.9,"109,149,345","8,869","89,312,461",82.0,"21,230,788",,,"267,702",2024
TOPIA TWINS,Travis Scott,2023-07-28,898,50.9,"196,369,387","70,723","12,274,321",74.0,"26,280,803","47,600","141,407,787","310,132",2023
Janze,Xamdam Sobirov,2023-07-31,899,50.9,"344,691",77,"5,871",30.0,"334,194,426","154,161","144,597,808","407,695",2023
"O Saki Saki (From ""Batla House"")",Neha Kakkar,2019-07-15,897,50.9,"144,985,656","15,143","5,892,217",57.0,"1,662,729,195","3,112,998","462,897,728","717,736",2019
Always Remember Us This Way,Lady Gaga,2018-10-05,901,50.9,"1,269,760,706","137,601","32,384,233",76.0,"824,308,720","1,213,771","573,562,180","9,755,956",2018
Monotonï¿½,Shakira,2022-10-19,903,50.8,"498,744,348","50,326","35,586,221",67.0,"306,510,173",,"38,341","913,182",2022
Aku Sayang Tapi Kau Tak Paham,DJ Boneng,2023-11-15,902,50.8,"716,453",22,"36,989",1.0,"12,045","1,800,000","100,001,777",,2023
Thought You Should Know,Morgan Wallen,2022-05-06,906,50.7,"340,227,841","40,523","6,267,614",73.0,"137,384,524","16,626","28,018,314","857,184",2022
CAIRO,KAROL G,2022-11-13,904,50.7,"443,093,379","35,995","21,160,001",72.0,"273,852,759","625,126","600,184,949","1,174,788",2022
